"post_title","post_name","post_parent","ID","post_content","post_excerpt","post_status","post_password","menu_order","post_date","post_author","comment_status","sku","parent_sku","children","downloadable","virtual","stock","regular_price","sale_price","weight","length","width","height","tax_class","visibility","stock_status","backorders","sold_individually","low_stock_amount","manage_stock","tax_status","upsell_ids","crosssell_ids","purchase_note","sale_price_dates_from","sale_price_dates_to","download_limit","download_expiry","product_url","button_text","images","downloadable_files","product_page_url","meta:total_sales","meta:_global_unique_id","tax:product_brand","tax:product_type","tax:product_visibility","tax:product_cat","tax:product_tag","tax:product_shipping_class","tax:pos_product_visibility","attribute:pa_lense-type","attribute_data:pa_lense-type","attribute_default:pa_lense-type"
"Johnson & Johnson / 30 daily lenses","johnson-johnson-30-daily-lenses","","3427","Johnson &amp; Johnson / 30 monthly lenses","","Published","","0","2025-02-13 08:00:12","1","closed","","","","no","no","","25","","","","","","","","instock","no","no","","no","taxable","","","","","","","","","","https://jeepoo.com/wp-content/uploads/2025/02/Add-a-heading.webp ! alt :  ! title : Add-a-heading.webp ! desc :  ! caption : ","","https://jeepoo.com/shop-2/jj/johnson-johnson-30-daily-lenses/","","","","simple","","J&amp;J","","","","","",""
"Johnson & Johnson / 6 monthly lenses","johnson-johnson-6-monthly-lenses","","3426","Johnson &amp; Johnson / 6 monthly lenses","","Published","","0","2025-02-13 08:00:12","1","closed","","","","no","no","","25","","","","","","","","instock","no","no","","no","taxable","","","","","","","","","","https://jeepoo.com/wp-content/uploads/2025/02/6-monthly.webp ! alt :  ! title : 6-monthly.webp ! desc :  ! caption : ","","https://jeepoo.com/shop-2/contact-lenses/johnson-johnson-6-monthly-lenses/","","","","simple","","Contact lenses","","","","","",""
"Dima Lenses 100ml. محلول عدسات","dima-lenses-100ml-محلول-عدسات","","3424","","","Published","","0","2025-02-13 08:00:12","1","closed","","","","no","no","","5.5","","","","","","","","instock","no","no","","no","taxable","","","","","","","","","","https://jeepoo.com/wp-content/uploads/2025/02/Solution-2.webp ! alt :  ! title : Solution-2.webp ! desc :  ! caption : ","","https://jeepoo.com/shop-2/solution/dima-lenses-100ml-%d9%85%d8%ad%d9%84%d9%88%d9%84-%d8%b9%d8%af%d8%b3%d8%a7%d8%aa/","","","","simple","","Solution","CooperVision","","","","",""
"CoperVision 100ml. محلول عدسات","copervision-100ml-محلول-عدسات","","3423","All in One Light .","","Published","","0","2025-02-13 08:00:12","1","closed","","","","no","no","","4","","","","","","","","instock","no","no","","no","taxable","","","","","","","","","","https://jeepoo.com/wp-content/uploads/2025/02/Solution-3.webp ! alt :  ! title : Solution-3.webp ! desc :  ! caption : ","","https://jeepoo.com/shop-2/solution/copervision-100ml-%d9%85%d8%ad%d9%84%d9%88%d9%84-%d8%b9%d8%af%d8%b3%d8%a7%d8%aa/","","","","simple","","Solution","CooperVision","","","","",""
"CoperVision 250ml. محلول عدسات","copervision-250ml-محلول-عدسات","","3422","All in One Light .","","Published","","0","2025-02-13 08:00:12","1","closed","","","","no","no","","6","","","","","","","","instock","no","no","","no","taxable","","","","","","","","","","https://jeepoo.com/wp-content/uploads/2025/02/Solution-3.webp ! alt :  ! title : Solution-3.webp ! desc :  ! caption : ","","https://jeepoo.com/shop-2/solution/copervision-250ml-%d9%85%d8%ad%d9%84%d9%88%d9%84-%d8%b9%d8%af%d8%b3%d8%a7%d8%aa/","","","","simple","","Solution","CooperVision","","","","",""
"CoperVision 360ml. محلول عدسات","copervision-360ml-محلول-عدسات","","3421","All in One Light .","","Published","","0","2025-02-13 08:00:12","1","closed","","","","no","no","","7","","","","","","","","instock","no","no","","no","taxable","","","","","","","","","","https://jeepoo.com/wp-content/uploads/2025/02/Solution-5.webp ! alt :  ! title : Solution-5.webp ! desc :  ! caption : ","","https://jeepoo.com/shop-2/solution/copervision-360ml-%d9%85%d8%ad%d9%84%d9%88%d9%84-%d8%b9%d8%af%d8%b3%d8%a7%d8%aa/","","","","simple","","Solution","CooperVision","","","","",""
"Avizor 350 ml. محلول عدسات","avizor-350-ml-محلول-عدسات","","3420","For Sensitive eyes with Sodium hyaluronate","","Published","","0","2025-02-13 08:00:12","1","closed","","","","no","no","","8","","","","","","","","instock","no","no","","no","taxable","","","","","","","","","","https://jeepoo.com/wp-content/uploads/2025/02/Solution-1.webp ! alt :  ! title : Solution-1.webp ! desc :  ! caption : ","","https://jeepoo.com/shop-2/solution/avizor-350-ml-%d9%85%d8%ad%d9%84%d9%88%d9%84-%d8%b9%d8%af%d8%b3%d8%a7%d8%aa/","","","","simple","","Solution","","","","","",""
"Avizor 120 ml. محلول عدسات","avizor-120-ml-محلول-عدسات","","3419","For Sensitive eyes with Sodium hyaluronate","","Published","","0","2025-02-13 08:00:11","1","closed","","","","no","no","","4","","","","","","","","instock","no","no","","no","taxable","","","","","","","","","","https://jeepoo.com/wp-content/uploads/2025/02/Solution-1.webp ! alt :  ! title : Solution-1.webp ! desc :  ! caption : ","","https://jeepoo.com/shop-2/solution/avizor-120-ml-%d9%85%d8%ad%d9%84%d9%88%d9%84-%d8%b9%d8%af%d8%b3%d8%a7%d8%aa/","","","","simple","","Solution","","","","","",""
"Avizor 60 ml. محلول عدسات","avizor-60-ml-محلول-عدسات","","3418","For Sensitive eyes with Sodium hyaluronate","","Published","","0","2025-02-13 08:00:11","1","closed","","","","no","no","","3","","","","","","","","instock","no","no","","no","taxable","","","","","","","","","","https://jeepoo.com/wp-content/uploads/2025/02/Solution-7.webp ! alt :  ! title : Solution-7.webp ! desc :  ! caption : ","","https://jeepoo.com/shop-2/solution/avizor-60-ml-%d9%85%d8%ad%d9%84%d9%88%d9%84-%d8%b9%d8%af%d8%b3%d8%a7%d8%aa/","","","","simple","","Solution","","","","","",""
"Brown/ Calavue/ يومي","brown-calavue-يومي","","3314","Without Power","","Published","","0","2025-02-13 07:59:57","1","closed","","","","no","no","","5","","","","","","","","instock","no","no","","no","taxable","","","","","","","","","","https://jeepoo.com/wp-content/uploads/2025/02/dc7528cf-2163-4437-8bda-39def7ba6220.webp ! alt :  ! title : dc7528cf-2163-4437-8bda-39def7ba6220.webp ! desc :  ! caption :  | https://jeepoo.com/wp-content/uploads/2025/02/PHOTO-2024-10-21-21-26-48.webp ! alt :  ! title : PHOTO-2024-10-21-21-26-48.webp ! desc :  ! caption : ","","https://jeepoo.com/shop-2/calavue/brown-calavue-%d9%8a%d9%88%d9%85%d9%8a/","","","","simple","","Calavue","","","","No power|with Power","0|1|0",""
